Date,Event,Venue,Time,Sport,Band,Conductor,Other
"Wednesday, October 1, 2025",Brass Auditions,College of Music,,Auditions,-,ALL,
"Friday, October 3, 2025",MSU Madness,Breslin,8:00 PM,MBB/WBB,BRASS/SMB,Golden/Thornton,
"Sunday, October 5, 2025",Brass Rehearsal,Dem Hall Ballroom,6PM-8PM,Rehearsal,BRASS,ALL,
"Thursday, October 9, 2025",New Hampshire,Munn Arena,7:00 PM,HOC,Green,ALL,MC
"Friday, October 10, 2025",New Hampshire,Munn Arena,7:30 PM,HOC,White,Adams,
"Friday, October 10, 2025",Iowa,Breslin,7:30 PM,VBALL,Green,Jones,
"Sunday, October 12, 2025",Indiana,Breslin,1:00 PM,VBALL,White,Jones,
"Sunday, October 12, 2025",Brass Rehearsal,Dem Hall Ballroom,6PM-8PM,Rehearsal,BRASS,ALL,
"Friday, October 17, 2025",Nebraska,Breslin,7:00 PM,VBALL,Green,Jones,
"Wednesday, October 22, 2025",Michigan Tech (Exhibition),Breslin,6:30 PM,WBB,White,Parker,MC
"Thursday, October 23, 2025",Bowling Green (Exhibition),Breslin,7:00 PM,MBB,BRASS,Golden,MC
"Sunday, October 26, 2025",Brass Rehearsal,Dem Hall Ballroom,6PM-8PM,Rehearsal,BRASS,ALL,
"Friday, October 31, 2025",Purdue,Breslin,7:00 PM,VBALL,Green,Jones,
"Saturday, November 1, 2025",Rutgers,Breslin,7:00 PM,VBALL,White,Jones,
"Monday, November 3, 2025",Colgate,Breslin,7:00 PM,MBB,BRASS,Golden,
"Tuesday, November 4, 2025",Mercyhurst,Breslin,6:30 PM,WBB,Green,Parker,MC
"Friday, November 7, 2025",Penn State,Munn Arena,7:00 PM,HOC,White,Gabriel,MC
"Saturday, November 8, 2025",Penn State,Munn Arena,4:00 PM,HOC,Green,Trapani,
"Saturday, November 8, 2025",Arkansas,Breslin,7:00 PM,MBB,BRASS,Golden,WHITE OUT!!
"Sunday, November 9, 2025",Eastern Michigan,Breslin,2:00 PM,WBB,White,Parker,
"Wednesday, November 12, 2025",Youngstown State,Breslin,6:30 PM,WBB,Green,Parker,MC
"Thursday, November 13, 2025",San Jose State,Breslin,6:30 PM,MBB,BRASS,Golden,MC
"Sunday, November 16, 2025",Western Michigan,Breslin,2:00 PM,WBB,White,Parker,
"Thursday, November 20, 2025",Eastern Illinois,Breslin,6:30 PM,WBB,Green,Parker,MC
"Friday, November 21, 2025",Wisconsin,Munn Arena,8:30 PM,HOC,Alumni Brass,--,Conflict with MBB
"Friday, November 21, 2025",Detroit Mercy,Breslin,6:30 PM,MBB,BRASS,Golden,
"Saturday, November 22, 2025",Wisconsin,Munn Arena,7:00 PM,HOC,White,Adams,
"Sunday, November 23, 2025",Oakland,Breslin,2:00 PM,WBB,Green,Golden,
"Wednesday, November 26, 2025",Colgate,Munn Arena,7:00 PM,HOC,Alumni Brass,--,THANKSGIVING BREAK
"Friday, November 28, 2025",Colgate,Munn Arena,4:00 PM,HOC,Alumni Brass,--,THANKSGIVING BREAK
"Tuesday, December 2, 2025",Iowa,Breslin,7:00 PM,MBB,BRASS,Golden,
"Friday, December 5, 2025",Michigan,Munn Arena,8:30 PM,HOC,BRASS,Adams,
"Saturday, December 6, 2025",Duke,Breslin,12:00 PM,MBB,BRASS,Golden,
"Tuesday, December 16, 2025",Toledo,Breslin,6:30 PM,MBB,Alumni Brass,--,WINTER BREAK
"Sunday, December 28, 2025",Rutgers,Breslin,2:00 PM,WBB,Alumni Brass,--,WINTER BREAK
"Sunday, December 28, 2025",Great Lakes Invitational,"Van Andel Arena, Grand Rapids",7:00 PM,HOC,Alumni Brass,--,WINTER BREAK
"Monday, December 29, 2025",Cornell,Breslin,7:00 PM,MBB,Alumni Brass,--,WINTER BREAK
"Monday, December 29, 2025",Great Lakes Invitational,"Van Andel Arena, Grand Rapids",3:30 PM/7:00 PM,HOC,Alumni Brass,--,WINTER BREAK
"Sunday, January 4, 2026",Illinois,Breslin,12:00 PM,WBB,Alumni Brass,--,WINTER BREAK
"Sunday, January 4, 2026",NTDP,Munn Arena,4:00 PM,HOC,Alumni Brass,--,WINTER BREAK
"Monday, January 5, 2026",USC,Breslin,8:30 PM,MBB,Alumni Brass,--,WINTER BREAK
"Thursday, January 8, 2026",Northwestern,Breslin,6:30 PM,MBB,Alumni Brass,--,WINTER BREAK
"Monday, January 12, 2026",Brass Rehearsal,Dem Hall Ballroom,5:10 PM,Rehearsal,BRASS,ALL,
"Tuesday, January 13, 2026",Indiana,Breslin,8:00 PM,MBB,BRASS,Golden,
"Wednesday, January 14, 2026",Brass Rehearsal,Dem Hall Ballroom,5:10 PM,Rehearsal,BRASS,ALL,
"Thursday, January 15, 2026",Nebraska,Breslin,7:00 PM,WBB,White,Parker,
"Thursday, January 22, 2026",Southern California,Breslin,8:00 PM,WBB,Green,Parker,
"Friday, January 23, 2026",Minnesota,Munn Arena,7:00 PM,HOC,White,Gabriel,
"Saturday, January 24, 2026",Maryland,Breslin,12:00 PM,MBB,BRASS,Golden,
"Saturday, January 24, 2026",Minnesota,Munn Arena,6:00 PM,HOC,Green,Trapani,--
"Monday, January 26, 2026",Brass Rehearsal,Dem Hall Ballroom,5:10 PM,Rehearsal,BRASS,ALL,
"Wednesday, January 28, 2026",Brass Rehearsal,Dem Hall Ballroom,5:10 PM,Rehearsal,BRASS,ALL,
"Friday, January 30, 2026",Michigan,Breslin,8:00 PM,MBB,BRASS,Golden,
"Sunday, February 1, 2026",Michigan,Breslin,12:00 PM,WBB,BRASS,Parker,
"Wednesday, February 4, 2026",Maryland,Breslin,6:30 PM,WBB,White,Parker,
"Saturday, February 7, 2026",Illinois,Breslin,8:00 PM,MBB,BRASS,Golden,
"Saturday, February 7, 2026",Michigan - Duel in the D,LCA,6:30 PM,HOC,Travel Band,Grads,SMB?
"Monday, February 9, 2026",Brass Rehearsal,Dem Hall Ballroom,5:10 PM,Rehearsal,BRASS,ALL,
"Wednesday, February 11, 2026",UCLA,Breslin,8:00 PM,WBB,Green,Parker,Pink Game
"Monday, February 16, 2026",Brass Rehearsal,Dem Hall Ballroom,5:10 PM,Rehearsal,BRASS,ALL,
"Tuesday, February 17, 2026",UCLA,Breslin,8:30 PM,MBB,BRASS,Golden,
"Wednesday, February 18, 2026",Northwestern,Breslin,6:30 PM,WBB,White,Parker,
"Thursday, February 19, 2026",Notre Dame,Munn Arena,7:30 PM,HOC,Green,Adams,
"Friday, February 20, 2026",Notre Dame,Munn Arena,6:00 PM,HOC,White,Trapani,
"Sunday, February 22, 2026",Ohio State,Breslin,1:00 PM,MBB,BRASS,Golden,
"Monday, February 23, 2026",Brass Rehearsal,Dem Hall Ballroom,5:10 PM,Rehearsal,BRASS,ALL,
"Friday, February 27, 2026",Ohio State,Munn Arena,8:30 PM,HOC,Green,Adams,
"Saturday, February 28, 2026",Ohio State,Munn Arena,7:00 or 8:00 PM,HOC,White,Gabriel,
"Sunday, March 1, 2026",Ohio State,Breslin,12:00 PM,WBB,Alumni Brass,--,SPRING BREAK
"Thursday, March 5, 2026",Rutgers,Breslin,8:00 PM,MBB,Alumni Brass,--,SPRING BREAK
"Wednesday, March 4- Sunday 8, 2026",Big Ten Tournament,"Indianapolis, IN",TBD,WBB,Travel Band,Parker,
"Wednesday, March 11- Sunday 15, 2026",Big Ten Tournament,"Chicago, IL",TBD,MBB,Travel Band,Golden,
"Wednesday March 11, 2026",Big Ten Tournament Quarterfinals,Site TBD (most likely on campus),TBD,HOC,BRASS,Grads,
"Saturday March 14, 2026",Big Ten Tournament Semis,Site TBD (most likely on campus),TBD,HOC,BRASS,Grads,
"Saturday March 21, 2026",Big Ten Tournament Championship,Site TBD (most likely on campus),TBD,HOC,BRASS,Grads,
"Tuesday, March 19-Sunday 22, 2026",NCAA Tournament - 1st/2nd Rounds,TBD,TBD,MBB,Travel Band,Golden,
"Tuesday, March 22-Sunday 25, 2026",NCAA Tournament - 1st/2nd Rounds,TBD,TBD,WBB,Travel Band,Parker,
"Tuesday, March 26-Sunday 29, 2026",NCAA Tournament - Regionals,TBD,TBD,MBB,Travel Band,Golden,
"Wednesday, April 8-Satruday, April 11, 2026",NCAA Frozen Four,TBD,TBD,HOC,Travel Band,Grads,
"Tuesday, March 29-April 1, 2026",NCAA Tournament - Regionals,TBD,TBD,WBB,Travel Band,Parker,
"Monday, April 20, 2026",Brass Rehearsal,Dem Hall Ballroom,5:10 PM,Rehearsal,BRASS,ALL,Semester Wrap-up
"Sunday, April, 26, 2026",Izzo 5K Run/Walk,Breslin (Outside),TBD,-,BRASS,Golden,
TBD,University Development Reception,TBD,TBD,-,BRASS,Golden,
